twitterProfileId,username,displayName,avatarUrl,followersCount,kolScore,smartFollowersCount,followedAt,tags
1099790079294287872,lokithebird,Loki 😈,https://pbs.twimg.com/profile_images/1739893695942639616/9W39mSnm_200x200.jpg,43546,0,0,2025-01-15T21:51:41.986Z,
1298668226155442176,thecryptoskanda,加密韋馱｜Crypto V🇹🇭,https://pbs.twimg.com/profile_images/1893964765845749760/O7nheQjG_200x200.jpg,41064,0,0,2024-09-11T22:54:47.690Z,
929223032467525633,avocado_toast2,Avocado Toast,https://pbs.twimg.com/profile_images/1609778151369883648/dgvqvUMB_200x200.jpg,39912,0,0,2024-09-11T21:31:59.759Z,
1501968038991925249,DeFi_Cheetah,DeFi Cheetah - e/acc,https://pbs.twimg.com/profile_images/1501968720457252865/MPA-E4SN_200x200.jpg,39397,0,0,2025-02-10T22:00:26.603Z,
1401944520305090562,NFT1nsight,insight.chimp,https://pbs.twimg.com/profile_images/1862082363569676288/HXa-PyF0_200x200.jpg,38117,0,0,2025-01-15T21:57:45.599Z,
1324038533808640005,ProofOfTravis,Travis💡,https://pbs.twimg.com/profile_images/1763947579413250048/mGp78C6e_200x200.jpg,36817,0,0,2025-04-16T16:47:18.630Z,
1492101197993373698,ruthybuilds,ruthy,https://pbs.twimg.com/profile_images/1922642192402710529/RM4tzkQM_200x200.jpg,36079,0,0,2025-01-15T21:56:21.389Z,
274868003,RachelWolchin,Rachel Wolchin,https://pbs.twimg.com/profile_images/1855070595219697664/a4fzpxXR_200x200.jpg,35807,0,0,2024-09-11T22:09:50.622Z,
22643848,rumjahn,rumjahn.eth,https://pbs.twimg.com/profile_images/1800553332244930560/EHEjCI19_200x200.jpg,34244,0,0,2024-09-11T22:10:42.078Z,
952006146268782592,0xBiZzy,bizzy,https://pbs.twimg.com/profile_images/1753638166416789504/mtdOiLx8_200x200.jpg,34052,0,0,2024-09-11T22:21:50.281Z,
1201612040432955392,KothCap,KothCap,https://pbs.twimg.com/profile_images/1876749135287619584/nfSY8WyD_200x200.png,33786,0,0,2024-09-11T22:42:04.690Z,
899962415135297538,Rafi_0x,Rafi_0x,https://pbs.twimg.com/profile_images/1440418327222910993/s7idGpDV_200x200.jpg,33328,0,0,2025-01-19T01:00:43.261Z,
482014296,maverick23NFT,maverick,https://pbs.twimg.com/profile_images/1899590769813422080/pi8wMHo-_200x200.png,33163,0,0,2024-09-11T22:44:05.522Z,
1472312412443332608,0xLTR,LTR,https://pbs.twimg.com/profile_images/1917601915804033024/sovix99P_200x200.jpg,32710,0,0,2024-09-11T22:23:23.110Z,
1341841499571560448,corleonefnf,JAMES,https://pbs.twimg.com/profile_images/1904947255683284992/ZrpVI4hg_200x200.jpg,32545,0,0,2024-09-11T22:30:51.530Z,
823666116220354565,MasterChiefNFTs,MasterChief,https://pbs.twimg.com/profile_images/1897755286619787264/q7HoJBhM_200x200.jpg,32300,0,0,2025-01-15T21:56:15.739Z,
1316449796165701638,mys_dark,MysDark,https://pbs.twimg.com/profile_images/1543036528481411072/y_xlP4JY_200x200.jpg,31807,0,0,2024-09-11T22:45:10.370Z,
